Major,Major_Category
GENERAL AGRICULTURE,Agriculture & Natural Resources
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
ANIMAL SCIENCES,Agriculture & Natural Resources
FOOD SCIENCE,Agriculture & Natural Resources
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
SOIL SCIENCE,Agriculture & Natural Resources
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
FORESTRY,Agriculture & Natural Resources
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
FINE ARTS,Arts
DRAMA AND THEATER ARTS,Arts
MUSIC,Arts
VISUAL AND PERFORMING ARTS,Arts
COMMERCIAL ART AND GRAPHIC DESIGN,Arts
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
STUDIO ARTS,Arts
MISCELLANEOUS FINE ARTS,Arts
ENVIRONMENTAL SCIENCE,Biology & Life Science
BIOLOGY,Biology & Life Science
BIOCHEMICAL SCIENCES,Biology & Life Science
BOTANY,Biology & Life Science
MOLECULAR BIOLOGY,Biology & Life Science
ECOLOGY,Biology & Life Science
GENETICS,Biology & Life Science
MICROBIOLOGY,Biology & Life Science
PHARMACOLOGY,Biology & Life Science
PHYSIOLOGY,Biology & Life Science
ZOOLOGY,Biology & Life Science
NEUROSCIENCE,Biology & Life Science
MISCELLANEOUS BIOLOGY,Biology & Life Science
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
GENERAL BUSINESS,Business
ACCOUNTING,Business
ACTUARIAL SCIENCE,Business
BUSINESS MANAGEMENT AND ADMINISTRATION,Business
OPERATIONS LOGISTICS AND E-COMMERCE,Business
BUSINESS ECONOMICS,Business
MARKETING AND MARKETING RESEARCH,Business
FINANCE,Business
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
INTERNATIONAL BUSINESS,Business
HOSPITALITY MANAGEMENT,Business
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
COMMUNICATIONS,Communications & Journalism
JOURNALISM,Communications & Journalism
MASS MEDIA,Communications & Journalism
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
COMMUNICATION TECHNOLOGIES,Computers & Mathematics
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
COMPUTER SCIENCE,Computers & Mathematics
Information Science and Technology,Computers & Mathematics
INFORMATION SCIENCES,Computers & Mathematics
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
MATHEMATICS,Computers & Mathematics
APPLIED MATHEMATICS,Computers & Mathematics
STATISTICS AND DECISION SCIENCE,Computers & Mathematics
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
GENERAL EDUCATION,Education
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
SCHOOL STUDENT COUNSELING,Education
ELEMENTARY EDUCATION,Education
MATHEMATICS TEACHER EDUCATION,Education
PHYSICAL AND HEALTH EDUCATION TEACHING,Education
EARLY CHILDHOOD EDUCATION,Education
SCIENCE AND COMPUTER TEACHER EDUCATION,Education
SECONDARY TEACHER EDUCATION,Education
SPECIAL NEEDS EDUCATION,Education
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
TEACHER EDUCATION: MULTIPLE LEVELS,Education
LANGUAGE AND DRAMA EDUCATION,Education
ART AND MUSIC EDUCATION,Education
MISCELLANEOUS EDUCATION,Education
LIBRARY SCIENCE,Education
ARCHITECTURE,Engineering
GENERAL ENGINEERING,Engineering
AEROSPACE ENGINEERING,Engineering
BIOLOGICAL ENGINEERING,Engineering
ARCHITECTURAL ENGINEERING,Engineering
BIOMEDICAL ENGINEERING,Engineering
CHEMICAL ENGINEERING,Engineering
CIVIL ENGINEERING,Engineering
COMPUTER ENGINEERING,Engineering
ELECTRICAL ENGINEERING,Engineering
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
ENVIRONMENTAL ENGINEERING,Engineering
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
MECHANICAL ENGINEERING,Engineering
METALLURGICAL ENGINEERING,Engineering
MINING AND MINERAL ENGINEERING,Engineering
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
NUCLEAR ENGINEERING,Engineering
PETROLEUM ENGINEERING,Engineering
MISCELLANEOUS ENGINEERING,Engineering
ENGINEERING TECHNOLOGIES,Engineering
ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
MATERIALS SCIENCE,Engineering
NUTRITION SCIENCES,Health
GENERAL MEDICAL AND HEALTH SERVICES,Health
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
MEDICAL ASSISTING SERVICES,Health
MEDICAL TECHNOLOGIES TECHNICIANS,Health
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
NURSING,Health
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
