Text,Entities
Python,"[(0, 6, 'SKILL')]"
Java,"[(0, 4, 'SKILL')]"
C++,"[(0, 3, 'SKILL')]"
JavaScript,"[(0, 10, 'SKILL')]"
C#,"[(0, 1, 'SKILL')]"
Ruby,"[(0, 3, 'SKILL')]"
Swift,"[(0, 4, 'SKILL')]"
Kotlin,"[(0, 6, 'SKILL')]"
Go,"[(0, 1, 'SKILL')]"
TypeScript,"[(0, 10, 'SKILL')]"
HTML5,"[(0, 4, 'SKILL')]"
CSS3,"[(0, 4, 'SKILL')]"
React,"[(0, 4, 'SKILL')]"
Angular,"[(0, 7, 'SKILL')]"
Vue.js,"[(0, 6, 'SKILL')]"
Node.js,"[(0, 6, 'SKILL')]"
Express.js,"[(0, 9, 'SKILL')]"
Django,"[(0, 6, 'SKILL')]"
Flask,"[(0, 5, 'SKILL')]"
RESTful APIs,"[(0, 12, 'SKILL')]"
SQL,"[(0, 3, 'SKILL')]"
MySQL,"[(0, 5, 'SKILL')]"
PostgreSQL,"[(0, 10, 'SKILL')]"
MongoDB,"[(0, 6, 'SKILL')]"
Oracle,"[(0, 6, 'SKILL')]"
SQLite,"[(0, 6, 'SKILL')]"
NoSQL,"[(0, 4, 'SKILL')]"
Linux/Unix,"[(0, 10, 'SKILL')]"
Windows Server,"[(0, 14, 'SKILL')]"
macOS,"[(0, 4, 'SKILL')]"
Git,"[(0, 2, 'SKILL')]"
GitHub,"[(0, 6, 'SKILL')]"
GitLab,"[(0, 6, 'SKILL')]"
Bitbucket,"[(0, 9, 'SKILL')]"
Docker,"[(0, 6, 'SKILL')]"
Kubernetes,"[(0, 10, 'SKILL')]"
Jenkins,"[(0, 7, 'SKILL')]"
Ansible,"[(0, 7, 'SKILL')]"
Terraform,"[(0, 9, 'SKILL')]"
Amazon Web Services (AWS),"[(0, 23, 'SKILL')]"
Microsoft Azure,"[(0, 16, 'SKILL')]"
Google Cloud Platform (GCP),"[(0, 26, 'SKILL')]"
Android Development (Java/Kotlin),"[(0, 25, 'SKILL')]"
iOS Development (Swift),"[(0, 19, 'SKILL')]"
Network Security,"[(0, 15, 'SKILL')]"
Ethical Hacking,"[(0, 15, 'SKILL')]"
Cryptography,"[(0, 12, 'SKILL')]"
Security Protocols,"[(0, 18, 'SKILL')]"
Penetration Testing,"[(0, 19, 'SKILL')]"
NumPy,"[(0, 4, 'SKILL')]"
Pandas,"[(0, 6, 'SKILL')]"
Matplotlib,"[(0, 11, 'SKILL')]"
Scikit-learn,"[(0, 11, 'SKILL')]"
TensorFlow,"[(0, 10, 'SKILL')]"
PyTorch,"[(0, 6, 'SKILL')]"
Data Analysis,"[(0, 12, 'SKILL')]"
Natural Language Processing (NLP),"[(0, 30, 'SKILL')]"
Sorting Algorithms,"[(0, 18, 'SKILL')]"
Searching Algorithms,"[(0, 20, 'SKILL')]"
Graph Theory,"[(0, 11, 'SKILL')]"
Dynamic Programming,"[(0, 18, 'SKILL')]"
Agile,"[(0, 5, 'SKILL')]"
Scrum,"[(0, 5, 'SKILL')]"
Kanban,"[(0, 6, 'SKILL')]"
Object-Oriented Programming (OOP),"[(0, 32, 'SKILL')]"
